1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
60;,;94% peanut kernels, palm oil, 1,2% peanut oil, cane sugar, table salt;peanuts;https://world.openfoodfacts.org/product/4056489424925
61;Mandeln;shelled almonds;nuts;https://world.openfoodfacts.org/product/20724696
62;Notenmix Melange de Noix ongebrand - non grille;25% Walnusskerne, 25% Haselnusskerne, 25% Cashewkerne, 25% blanchierte Mandeln.;nuts;https://world.openfoodfacts.org/product/20047238
63;Cruesli - Mixed Nuts;whole oats 32%, whole wheat 18%, glucose syrup, sunflower oil, sugar, toasted almonds 4, 2%, hazelnuts 4%, oligofructose, pecans 1, 5%, wheat flour, rice flour, brazil nuts 1%, honey, natural flavours, antioxidant tocopherol, may contain traces of milk, soy and sesame.;gluten, nuts;https://world.openfoodfacts.org/product/3168930010265
64;Fruit Nut Mix;25% Walnuts, 25% Whole Almonds, 25% Sultanas (Sultanas, Sunflower Oil), 25% Dried Sweetened Cranberries (Cranberries, Sugar, Sunflower Oil).;nuts, sulphur dioxide and sulphites;https://world.openfoodfacts.org/product/20815394
65;Brazil Nuts;Whole Brazil nuts;nuts;https://world.openfoodfacts.org/product/20202392
66;simply nutty muesli;wholegrain oat flakes, chopped dates, barley flakes, wholegrain wheat flakes, chopped roasted hazelnuts, whole almonds, chopped brazil nuts, sunflower seeds;gluten, nuts;https://world.openfoodfacts.org/product/5018357012497
67;Protein Cocoa Hazelnut Bars;Dates (38%), Peanuts (35%), Chicory fibre (10%), Peanut flour (8%), Hazelnuts (5%), Fat-reduced cocoa powder (3%).;cacahuetes, noisettes, nuts, peanuts;https://world.openfoodfacts.org/product/5060088700112
68;Be Nuts Pate a tartiner Cacahuete;roasted peanuts 85%, sugar, cocoa butter, sunflower oil, salt, vanilla extract, emulsifier sunflower lecithin, may contain nuts and sesame seeds,;peanuts;https://world.openfoodfacts.org/product/3608580124108
69;Low Sugar Nuts Seeds Granola imp;Wholegrain oat flakes (67%), nuts (10%) cashew nut pieces, hazelnut pieces, walnut pieces, almond pieces, rapeseed oil, seeds (7%) sunflower, pumpkin, desiccated coconut, fructose, black treacle. Toasted wholegrain oat, nut and seed granola.;nuts;https://world.openfoodfacts.org/product/5060043224561
70;Cocoa Orange Fruit Nut Bars;Dates 40%, Cashews 40%, Raisins 14%, Cocoa 5%, Orange Oil, Natural Flavouring;nuts;https://world.openfoodfacts.org/product/5060088701478
